player_name,war_total_per_82_reg,raptor_total_plus_minus_reg,team,season,in_rotation
Sterling Brown,0.5,-1.8,BOS,2020
Steven Adams,5.8,1.9,OKC,2020
T.J. McConnell,1.3,-0.8,IND,2020
T.J. Warren,2.2,-0.3,IND,2020
T.J. Leaf,0.9,-1.0,IND,2020
Taj Gibson,1.0,-1.3,NYK,2020
Taurean Prince,1.0,-1.6,BKN,2020
Terrance Ferguson,1.1,-1.6,OKC,2020
Terrence Ross,2.4,0.2,ORL,2020
Terry Rozier,2.5,0.3,CHA,2020
Thabo Sefolosha,0.9,0.2,HOU,2020
Thaddeus Young,4.8,1.6,CHI,2020
Thomas Bryant,0.7,-1.8,WAS,2020
Thon Maker,0.8,-1.5,DET,2020
Tim Frazier,0.5,-1.7,DET,2020
Tim Hardaway Jr.,3.5,0.6,DAL,2020
Tobias Harris,3.9,0.4,PHI,2020
Tomas Satoransky,2.2,-0.2,CHI,2020
Tony Snell,0.4,-2.0,DET,2020
Torrey Craig,1.4,-0.5,DEN,2020
Trae Young,2.7,-0.5,ATL,2020
Trevor Ariza,1.7,-1.0,SAC,2020
Trey Burke,1.8,0.2,PHI,2020
Trey Lyles,0.5,-1.9,SAS,2020
Tristan Thompson,1.6,-0.6,CLE,2020
Troy Daniels,0.2,-2.4,LAL,2020
Tyler Johnson,2.0,-0.3,PHO,2020
Tyler Ulis,0.6,-0.8,SAC,2020
Tyler Zeller,0.5,-1.4,DEN,2020
Tyus Jones,3.2,0.9,MEM,2020
Victor Oladipo,6.0,3.4,IND,2020
Vince Carter,0.4,-0.4,ATL,2020
Wayne Ellington,1.4,-0.6,NYK,2020
Wendell Carter Jr.,0.6,-2.0,CHI,2020
Wesley Matthews,1.2,-1.3,IND,2020
Will Barton,0.6,-1.9,DEN,2020
Willie Cauley-Stein,1.8,-1.0,GSW,2020
Willy Hernangomez,0.2,-2.3,CHA,2020
Yogi Ferrell,1.7,-0.2,SAC,2020
Zach Collins,0.8,-1.7,POR,2020
Zach LaVine,1.2,-1.5,CHI,2020
Zhaire Smith,1.1,-0.6,PHI,2020
Zion Williamson,3.2,-0.2,NOP,2020
Ja Morant,2.6,-0.7,MEM,2020
RJ Barrett,-0.5,-3.2,NYK,2020
De'Andre Hunter,0.0,-2.7,ATL,2020
Darius Garland,-0.1,-2.9,CLE,2020
Jarrett Culver,1.1,-1.3,MIN,2020
Coby White,0.0,-2.7,CHI,2020
Jaxson Hayes,-0.4,-3.6,NOP,2020
Rui Hachimura,-0.2,-3.1,WAS,2020
Cam Reddish,0.1,-2.6,ATL,2020
Cameron Johnson,0.4,-2.0,PHO,2020
PJ Washington,0.2,-2.3,CHA,2020
Tyler Herro,0.1,-2.6,MIA,2020
Romeo Langford,-0.3,-3.4,BOS,2020
Chuma Okeke,1.1,-0.5,ORL,2020
Nickeil Alexander-Walker,0.6,-1.6,NOP,2020
Matisse Thybulle,1.7,0.6,PHI,2020
Brandon Clarke,0.7,-0.9,MEM,2020
Grant Williams,0.5,-1.6,BOS,2020
Ty Jerome,0.9,-0.7,PHO,2020
Dylan Windler,0.6,-1.4,CLE,2020
